date,symbol,score
2024-01-02,aapl,0.057667
2024-01-02,amgn,0.055653
2024-01-02,amzn,0.057789
2024-01-02,axp,0.057667
2024-01-02,ba,0.057789
2024-01-02,cat,0.057214
2024-01-02,crm,0.057789
2024-01-02,csco,0.057214
2024-01-02,cvx,0.057789
2024-01-02,dis,0.057667
2024-01-02,gs,0.055653
2024-01-02,hd,0.057789
2024-01-02,hon,0.060284
2024-01-02,ibm,0.057214
2024-01-02,jnj,0.055653
2024-01-02,jpm,0.057667
2024-01-02,ko,0.057667
2024-01-02,mcd,0.057667
2024-01-02,mmm,0.055653
2024-01-02,mrk,0.057667
2024-01-02,msft,0.057214
2024-01-02,nke,0.057667
2024-01-02,nvda,0.057667
2024-01-02,pg,0.055653
2024-01-02,shw,0.057667
2024-01-02,trv,0.055653
2024-01-02,unh,0.057667
2024-01-02,v,0.057214
2024-01-02,vz,0.055653
2024-01-02,wmt,0.057667
2024-01-03,aapl,0.057789
2024-01-03,amgn,0.055653
2024-01-03,amzn,0.057789
2024-01-03,axp,0.057214
2024-01-03,ba,0.057789
2024-01-03,cat,0.057789
2024-01-03,crm,0.057789
2024-01-03,csco,0.055653
2024-01-03,cvx,0.055653
2024-01-03,dis,0.055653
2024-01-03,gs,0.057667
2024-01-03,hd,0.057789
2024-01-03,hon,0.057214
2024-01-03,ibm,0.057214
2024-01-03,jnj,0.057667
2024-01-03,jpm,0.057667
2024-01-03,ko,0.057667
2024-01-03,mcd,0.057214
2024-01-03,mmm,0.057214
2024-01-03,mrk,0.055653
2024-01-03,msft,0.057214
2024-01-03,nke,0.057667
2024-01-03,nvda,0.057667
2024-01-03,pg,0.055653
2024-01-03,shw,0.057667
2024-01-03,trv,0.057667
2024-01-03,unh,0.055653
2024-01-03,v,0.057214
2024-01-03,vz,0.055653
2024-01-03,wmt,0.057667
2024-01-04,aapl,0.057789
2024-01-04,amgn,0.055653
2024-01-04,amzn,0.057789
2024-01-04,axp,0.057214
2024-01-04,ba,0.057789
2024-01-04,cat,0.057789
2024-01-04,crm,0.057789
2024-01-04,csco,0.057214
2024-01-04,cvx,0.060284
2024-01-04,dis,0.057667
2024-01-04,gs,0.060284
2024-01-04,hd,0.057789
2024-01-04,hon,0.057214
2024-01-04,ibm,0.057789
2024-01-04,jnj,0.057667
2024-01-04,jpm,0.057667
2024-01-04,ko,0.057667
2024-01-04,mcd,0.057214
2024-01-04,mmm,0.057667
2024-01-04,mrk,0.055653
2024-01-04,msft,0.057789
2024-01-04,nke,0.057667
2024-01-04,nvda,0.057667
2024-01-04,pg,0.057667
2024-01-04,shw,0.057789
2024-01-04,trv,0.055653
2024-01-04,unh,0.055653
2024-01-04,v,0.057789
2024-01-04,vz,0.055653
2024-01-04,wmt,0.057214
2024-01-05,aapl,0.057789
2024-01-05,amgn,0.057667
2024-01-05,amzn,0.057789
2024-01-05,axp,0.055653
2024-01-05,ba,0.057667
2024-01-05,cat,0.060284
2024-01-05,crm,0.057789
2024-01-05,csco,0.057214
2024-01-05,cvx,0.057667
2024-01-05,dis,0.057667
2024-01-05,gs,0.057667
2024-01-05,hd,0.057667
2024-01-05,hon,0.057789
2024-01-05,ibm,0.057789
2024-01-05,jnj,0.057667
2024-01-05,jpm,0.055653
2024-01-05,ko,0.057667
2024-01-05,mcd,0.057214
2024-01-05,mmm,0.060284
2024-01-05,mrk,0.057667
2024-01-05,msft,0.057789
2024-01-05,nke,0.057667
2024-01-05,nvda,0.055653
2024-01-05,pg,0.057789
2024-01-05,shw,0.057789
2024-01-05,trv,0.055653
2024-01-05,unh,0.060284
2024-01-05,v,0.057789
2024-01-05,vz,0.055653
2024-01-05,wmt,0.057214
2024-01-08,aapl,0.057667
2024-01-08,amgn,0.057667
2024-01-08,amzn,0.057667
2024-01-08,axp,0.057667
2024-01-08,ba,0.060284
2024-01-08,cat,0.057667
2024-01-08,crm,0.055653
2024-01-08,csco,0.057667
2024-01-08,cvx,0.057667
2024-01-08,dis,0.057667
2024-01-08,gs,0.057667
2024-01-08,hd,0.057667
2024-01-08,hon,0.057789
2024-01-08,ibm,0.057667
2024-01-08,jnj,0.057667
2024-01-08,jpm,0.057667
2024-01-08,ko,0.057667
2024-01-08,mcd,0.057667
2024-01-08,mmm,0.057667
2024-01-08,mrk,0.055653
2024-01-08,msft,0.057667
2024-01-08,nke,0.057667
2024-01-08,nvda,0.057667
2024-01-08,pg,0.057667
2024-01-08,shw,0.057667
2024-01-08,trv,0.057214
2024-01-08,unh,0.060284
2024-01-08,v,0.057667
2024-01-08,vz,0.055653
2024-01-08,wmt,0.057667
2024-01-09,aapl,0.057667
2024-01-09,amgn,0.055653
2024-01-09,amzn,0.055653
2024-01-09,axp,0.057214
2024-01-09,ba,0.057667
2024-01-09,cat,0.057667
2024-01-09,crm,0.055653
2024-01-09,csco,0.057789
2024-01-09,cvx,0.057789
2024-01-09,dis,0.057789
2024-01-09,gs,0.060284
2024-01-09,hd,0.057667
2024-01-09,hon,0.057667
2024-01-09,ibm,0.057667
2024-01-09,jnj,0.057667
2024-01-09,jpm,0.057214
2024-01-09,ko,0.057667
2024-01-09,mcd,0.057667
2024-01-09,mmm,0.057667
2024-01-09,mrk,0.055653
2024-01-09,msft,0.057667
2024-01-09,nke,0.057789
2024-01-09,nvda,0.055653
2024-01-09,pg,0.057667
2024-01-09,shw,0.057667
2024-01-09,trv,0.057789
2024-01-09,unh,0.057667
2024-01-09,v,0.057667
2024-01-09,vz,0.060284
2024-01-09,wmt,0.057667
2024-01-10,aapl,0.057667
2024-01-10,amgn,0.060284
2024-01-10,amzn,0.055653
2024-01-10,axp,0.057789
2024-01-10,ba,0.057667
2024-01-10,cat,0.057667
2024-01-10,crm,0.055653
2024-01-10,csco,0.057667
2024-01-10,cvx,0.057789
2024-01-10,dis,0.057789
2024-01-10,gs,0.057789
2024-01-10,hd,0.057667
2024-01-10,hon,0.057667
2024-01-10,ibm,0.057667
2024-01-10,jnj,0.057667
2024-01-10,jpm,0.057789
2024-01-10,ko,0.057667
2024-01-10,mcd,0.057667
2024-01-10,mmm,0.057789
2024-01-10,mrk,0.057667
2024-01-10,msft,0.055653
2024-01-10,nke,0.057667
2024-01-10,nvda,0.055653
2024-01-10,pg,0.057667
2024-01-10,shw,0.057667
2024-01-10,trv,0.057667
2024-01-10,unh,0.060284
2024-01-10,v,0.057667
2024-01-10,vz,0.057667
2024-01-10,wmt,0.057667
2024-01-11,aapl,0.060284
2024-01-11,amgn,0.057667
2024-01-11,amzn,0.055653
2024-01-11,axp,0.057667
2024-01-11,ba,0.057667
2024-01-11,cat,0.060284
2024-01-11,crm,0.055653
2024-01-11,csco,0.057667
2024-01-11,cvx,0.057789
2024-01-11,dis,0.057789
2024-01-11,gs,0.057667
2024-01-11,hd,0.055653
2024-01-11,hon,0.057667
2024-01-11,ibm,0.057667
2024-01-11,jnj,0.057214
2024-01-11,jpm,0.057789
2024-01-11,ko,0.057214
2024-01-11,mcd,0.057667
2024-01-11,mmm,0.057667
2024-01-11,mrk,0.057667
2024-01-11,msft,0.055653
2024-01-11,nke,0.057667
2024-01-11,nvda,0.055653
2024-01-11,pg,0.057667
2024-01-11,shw,0.057789
2024-01-11,trv,0.057667
2024-01-11,unh,0.057667
2024-01-11,v,0.057667
2024-01-11,vz,0.057667
2024-01-11,wmt,0.057667
2024-01-12,aapl,0.057667
2024-01-12,amgn,0.057667
2024-01-12,amzn,0.055653
2024-01-12,axp,0.057789
2024-01-12,ba,0.057667
2024-01-12,cat,0.060284
2024-01-12,crm,0.057667
2024-01-12,csco,0.057667
2024-01-12,cvx,0.055653
2024-01-12,dis,0.060284
2024-01-12,gs,0.057789
2024-01-12,hd,0.057667
2024-01-12,hon,0.057667
2024-01-12,ibm,0.057667
2024-01-12,jnj,0.057667
2024-01-12,jpm,0.057214
2024-01-12,ko,0.057667
2024-01-12,mcd,0.060284
2024-01-12,mmm,0.057667
2024-01-12,mrk,0.057667
2024-01-12,msft,0.057667
2024-01-12,nke,0.057667
2024-01-12,nvda,0.055653
2024-01-12,pg,0.057667
2024-01-12,shw,0.057667
2024-01-12,trv,0.057667
2024-01-12,unh,0.060284
2024-01-12,v,0.057667
2024-01-12,vz,0.057667
2024-01-12,wmt,0.057667
2024-01-16,aapl,0.057667
2024-01-16,amgn,0.057789
2024-01-16,amzn,0.060284
2024-01-16,axp,0.057789
2024-01-16,ba,0.057667
2024-01-16,cat,0.057214
2024-01-16,crm,0.057667
2024-01-16,csco,0.057667
2024-01-16,cvx,0.057789
2024-01-16,dis,0.057667
2024-01-16,gs,0.057667
2024-01-16,hd,0.057667
2024-01-16,hon,0.057667
2024-01-16,ibm,0.057667
2024-01-16,jnj,0.057789
2024-01-16,jpm,0.057667
2024-01-16,ko,0.057214
2024-01-16,mcd,0.057667
2024-01-16,mmm,0.057667
2024-01-16,mrk,0.057789
2024-01-16,msft,0.057667
2024-01-16,nke,0.057667
2024-01-16,nvda,0.055653
2024-01-16,pg,0.057214
2024-01-16,shw,0.060284
2024-01-16,trv,0.057667
2024-01-16,unh,0.057789
2024-01-16,v,0.057667
2024-01-16,vz,0.057667
2024-01-16,wmt,0.057667
2024-01-17,aapl,0.057667
2024-01-17,amgn,0.057667
2024-01-17,amzn,0.057667
2024-01-17,axp,0.057667
2024-01-17,ba,0.057667
2024-01-17,cat,0.057667
2024-01-17,crm,0.057667
2024-01-17,csco,0.057214
2024-01-17,cvx,0.057667
2024-01-17,dis,0.057667
2024-01-17,gs,0.057667
2024-01-17,hd,0.057667
2024-01-17,hon,0.057667
2024-01-17,ibm,0.055653
2024-01-17,jnj,0.057789
2024-01-17,jpm,0.057667
2024-01-17,ko,0.057214
2024-01-17,mcd,0.057214
2024-01-17,mmm,0.057667
2024-01-17,mrk,0.057214
2024-01-17,msft,0.057667
2024-01-17,nke,0.057667
2024-01-17,nvda,0.057667
2024-01-17,pg,0.057214
2024-01-17,shw,0.060284
2024-01-17,trv,0.057667
2024-01-17,unh,0.057667
2024-01-17,v,0.057667
2024-01-17,vz,0.060284
2024-01-17,wmt,0.057214
2024-01-18,aapl,0.055653
2024-01-18,amgn,0.057667
2024-01-18,amzn,0.057667
2024-01-18,axp,0.057789
2024-01-18,ba,0.060284
2024-01-18,cat,0.057667
2024-01-18,crm,0.057667
2024-01-18,csco,0.057667
2024-01-18,cvx,0.057667
2024-01-18,dis,0.055653
2024-01-18,gs,0.057789
2024-01-18,hd,0.057667
2024-01-18,hon,0.057667
2024-01-18,ibm,0.057667
2024-01-18,jnj,0.057789
2024-01-18,jpm,0.057667
2024-01-18,ko,0.057789
2024-01-18,mcd,0.057667
2024-01-18,mmm,0.057789
2024-01-18,mrk,0.057667
2024-01-18,msft,0.057667
2024-01-18,nke,0.057789
2024-01-18,nvda,0.057667
2024-01-18,pg,0.057214
2024-01-18,shw,0.057667
2024-01-18,trv,0.055653
2024-01-18,unh,0.057667
2024-01-18,v,0.057667
2024-01-18,vz,0.057667
2024-01-18,wmt,0.057667
2024-01-19,aapl,0.057667
2024-01-19,amgn,0.055653
2024-01-19,amzn,0.055653
2024-01-19,axp,0.057667
2024-01-19,ba,0.057667
2024-01-19,cat,0.055653
2024-01-19,crm,0.055653
2024-01-19,csco,0.055653
2024-01-19,cvx,0.057667
2024-01-19,dis,0.055653
2024-01-19,gs,0.055653
2024-01-19,hd,0.057667
2024-01-19,hon,0.055653
2024-01-19,ibm,0.057667
2024-01-19,jnj,0.057667
2024-01-19,jpm,0.057667
2024-01-19,ko,0.057789
2024-01-19,mcd,0.057667
2024-01-19,mmm,0.060284
2024-01-19,mrk,0.057667
2024-01-19,msft,0.057667
2024-01-19,nke,0.057667
2024-01-19,nvda,0.057667
2024-01-19,pg,0.057789
2024-01-19,shw,0.060284
2024-01-19,trv,0.055653
2024-01-19,unh,0.057667
2024-01-19,v,0.057667
2024-01-19,vz,0.055653
2024-01-19,wmt,0.060284
2024-01-22,aapl,0.055653
2024-01-22,amgn,0.055653
2024-01-22,amzn,0.057667
2024-01-22,axp,0.055653
2024-01-22,ba,0.057667
2024-01-22,cat,0.055653
2024-01-22,crm,0.055653
2024-01-22,csco,0.057667
2024-01-22,cvx,0.057667
2024-01-22,dis,0.057667
2024-01-22,gs,0.057667
2024-01-22,hd,0.057214
2024-01-22,hon,0.057667
2024-01-22,ibm,0.057667
2024-01-22,jnj,0.055653
2024-01-22,jpm,0.057667
2024-01-22,ko,0.057789
2024-01-22,mcd,0.055653
2024-01-22,mmm,0.055653
2024-01-22,mrk,0.057667
2024-01-22,msft,0.057667
2024-01-22,nke,0.057789
2024-01-22,nvda,0.055653
2024-01-22,pg,0.057789
2024-01-22,shw,0.057667
2024-01-22,trv,0.055653
2024-01-22,unh,0.057667
2024-01-22,v,0.057667
2024-01-22,vz,0.057667
2024-01-22,wmt,0.057214
2024-01-23,aapl,0.057667
2024-01-23,amgn,0.057667
2024-01-23,amzn,0.057667
2024-01-23,axp,0.057667
2024-01-23,ba,0.060284
2024-01-23,cat,0.055653
2024-01-23,crm,0.060284
2024-01-23,csco,0.057667
2024-01-23,cvx,0.060284
2024-01-23,dis,0.055653
2024-01-23,gs,0.060284
2024-01-23,hd,0.057214
2024-01-23,hon,0.057667
2024-01-23,ibm,0.057667
2024-01-23,jnj,0.057667
2024-01-23,jpm,0.057667
2024-01-23,ko,0.057667
2024-01-23,mcd,0.057667
2024-01-23,mmm,0.057667
2024-01-23,mrk,0.057667
2024-01-23,msft,0.057667
2024-01-23,nke,0.057667
2024-01-23,nvda,0.057667
2024-01-23,pg,0.057667
2024-01-23,shw,0.060284
2024-01-23,trv,0.055653
2024-01-23,unh,0.060284
2024-01-23,v,0.057667
2024-01-23,vz,0.057667
2024-01-23,wmt,0.057667
2024-01-24,aapl,0.057667
2024-01-24,amgn,0.057667
2024-01-24,amzn,0.055653
2024-01-24,axp,0.055653
2024-01-24,ba,0.057667
2024-01-24,cat,0.055653
2024-01-24,crm,0.057667
2024-01-24,csco,0.060284
2024-01-24,cvx,0.057667
2024-01-24,dis,0.060284
2024-01-24,gs,0.057667
2024-01-24,hd,0.057789
2024-01-24,hon,0.057667
2024-01-24,ibm,0.057667
2024-01-24,jnj,0.060284
2024-01-24,jpm,0.055653
2024-01-24,ko,0.057789
2024-01-24,mcd,0.057667
2024-01-24,mmm,0.057667
2024-01-24,mrk,0.060284
2024-01-24,msft,0.055653
2024-01-24,nke,0.057789
2024-01-24,nvda,0.055653
2024-01-24,pg,0.057667
2024-01-24,shw,0.057214
2024-01-24,trv,0.057667
2024-01-24,unh,0.057667
2024-01-24,v,0.057667
2024-01-24,vz,0.055653
2024-01-24,wmt,0.057789
2024-01-25,aapl,0.060284
2024-01-25,amgn,0.057667
2024-01-25,amzn,0.055653
2024-01-25,axp,0.057667
2024-01-25,ba,0.057667
2024-01-25,cat,0.055653
2024-01-25,crm,0.057667
2024-01-25,csco,0.055653
2024-01-25,cvx,0.057667
2024-01-25,dis,0.057667
2024-01-25,gs,0.060284
2024-01-25,hd,0.057789
2024-01-25,hon,0.057667
2024-01-25,ibm,0.055653
2024-01-25,jnj,0.057667
2024-01-25,jpm,0.057667
2024-01-25,ko,0.057789
2024-01-25,mcd,0.057789
2024-01-25,mmm,0.057667
2024-01-25,mrk,0.057667
2024-01-25,msft,0.055653
2024-01-25,nke,0.057789
2024-01-25,nvda,0.055653
2024-01-25,pg,0.057667
2024-01-25,shw,0.060284
2024-01-25,trv,0.060284
2024-01-25,unh,0.057667
2024-01-25,v,0.057667
2024-01-25,vz,0.057667
2024-01-25,wmt,0.057667
2024-01-26,aapl,0.057214
2024-01-26,amgn,0.057667
2024-01-26,amzn,0.055653
2024-01-26,axp,0.055653
2024-01-26,ba,0.057667
2024-01-26,cat,0.055653
2024-01-26,crm,0.057667
2024-01-26,csco,0.055653
2024-01-26,cvx,0.057667
2024-01-26,dis,0.057667
2024-01-26,gs,0.057789
2024-01-26,hd,0.055653
2024-01-26,hon,0.057789
2024-01-26,ibm,0.055653
2024-01-26,jnj,0.060284
2024-01-26,jpm,0.057667
2024-01-26,ko,0.057789
2024-01-26,mcd,0.057789
2024-01-26,mmm,0.060284
2024-01-26,mrk,0.057667
2024-01-26,msft,0.057667
2024-01-26,nke,0.055653
2024-01-26,nvda,0.057667
2024-01-26,pg,0.057667
